claim_id	passenger_id	flight_id	flight_number	claim_date	issue_type	bag_description	bag_weight_kg	declared_value_eur	status	resolution_days	compensation_paid_eur	handling_agent
CLM00432	PAX00022494	FL0009517	LH5674	2024-04-08	Damaged	Brown leather bag	14.8	1407.0	Resolved	22	0	Fraport Ground Services
CLM00433	PAX00006513	FL0007887	LH8281	2024-01-15	Delayed	Black Rimowa suitcase	14.4	575.8	In Progress	38		Swissport
CLM00434	PAX00011552	FL0010118	LH3695	2024-04-08	Lost	Brown leather bag	8.4	512.93	Resolved	21	1344.92	Fraport Ground Services
CLM00435	PAX00014195	FL0007011	LH9895	2023-07-16	Damaged	Blue Samsonite carry-on	18.6	1827.89	Pending	17	1028.81	Swissport
CLM00436	PAX00043487	FL0002862	LH6233	2022-06-07	Damaged	Blue Samsonite carry-on	19.7	1575.75	Resolved	7	244.52	Lufthansa LEOS
CLM00437	PAX00008663	FL0000382	LH2388	2022-01-30	Lost	Grey Tumi backpack	20.0	EUR 2371.59	Resolved	34	1094.72	Swissport
CLM00438	PAX00008028	FL0008169	LH1155	2023-10-09	Delayed	Black Rimowa suitcase	8.4	524.32	Resolved		0	Fraport Ground Services
CLM00439	PAX00001757	FL0001027	LH5830	2022-01-26	Delayed	Black Rimowa suitcase	9.0	200.49	Denied	42	0	Fraport Ground Services
CLM00440	PAX00040188	FL0007184	LH210	2023-07-01	Pilfered	Black Rimowa suitcase	13.9	1635.97	In Progress	3	0	Swissport
CLM00441	PAX00026409	FL0010579	LH9373	2024-08-21	Pilfered	Red duffel bag	14.8	410.92	Resolved		1104.94	Lufthansa LEOS
CLM00442	PAX00008875	FL0002895	LH7370	2022-06-24	Delayed	Grey Tumi backpack	16.1	133.21	Resolved		0	Lufthansa LEOS
CLM00443	PAX00015910	FL0000007	LH9456	16-10-2021	Delayed	Blue Samsonite carry-on	31.5	2272.13	Resolved	39	0	Swissport
CLM00444	PAX00011543	FL0003070	LH9790	2022-06-25	Delayed	Red duffel bag	14.1	187.0	Resolved	29	0	Fraport Ground Services
CLM00445	PAX00007289	FL0011341	LH3879	2024-10-21	Pilfered	Grey Tumi backpack	20.8	1250.39	Resolved	9	1157.99	Lufthansa LEOS
CLM00446	PAX00000431	FL0000141	LH1454	2021-08-21	Delayed	Red duffel bag	16.6	1919.0	Resolved		0	Lufthansa LEOS
CLM00447	PAX00016781	FL0001160	LH3778	06-03-2022	Delayed	Brown leather bag	31.7	996.69	Resolved	30	0	Swissport
CLM00448	PAX00028174	FL0000787	LH7792	2021-12-08	Lost	Red duffel bag	10.9	507.22	Pending	43	0	Fraport Ground Services
CLM00449	PAX00038827	FL0004412	LH3803	2023-04-26	Delayed	Green hardcase	15.8	783.48	Pending	4	0	Lufthansa LEOS
CLM00450	PAX00017910	FL0007261	LH414	2023-08-20	Damaged	Blue Samsonite carry-on	18.4	575.68	In Progress	12	1296.69	Fraport Ground Services
CLM00451	PAX00041585	FL0010755	LH4248	03-06-2024	Damaged	Black Rimowa suitcase	25.2	2161.55	In Progress	11	0	Swissport
CLM00452	PAX00006051	FL0005785	LH8155	2023-06-16	Delayed	Grey Tumi backpack	13.4	403.78	Resolved	38	0	Swissport
CLM00453	PAX00035082	FL0003503	LH3388	2022-10-01	Delayed	Grey Tumi backpack	9.9	1493.52	Resolved		0	Swissport
CLM00454	PAX00034370	FL0004824	LH8153	2023-02-26	Delayed	Red duffel bag	13.4	1585.03	In Progress	33	0	Fraport Ground Services
CLM00455	PAX00040888	FL0007141	LH7370	2023-06-28	Delayed	Grey Tumi backpack	29.6	1134.47	In Progress	5	0	Lufthansa LEOS
CLM00456	PAX00033420	FL0006164	LH6428	2023-03-16	Delayed	Black Rimowa suitcase	27.9	1120.75	Denied	19	0	Fraport Ground Services
CLM00457	PAX00006559	FL0005569	LH1459	2023-04-11	Delayed	Grey Tumi backpack	27.5	2307.31	Denied		0	Lufthansa LEOS
CLM00458	PAX00029787	FL0003555	LH3922	2022-07-21	Delayed	Green hardcase	21.8	661.16	Resolved	8	0	Lufthansa LEOS
CLM00459	PAX00018932	FL0007308	LH9353	2023-11-25	Delayed	Grey Tumi backpack	16.0	2178.68	In Progress	4	0	Fraport Ground Services
CLM00460	PAX00000999	FL0000789	LH3960	2022-03-05	Delayed	Brown leather bag	11.7	169.2	In Progress	29	0	Swissport
CLM00461	PAX00005366	FL0010928	LH3065	2024-09-25	Lost	Blue Samsonite carry-on	29.2	1635.45	Resolved	7		Swissport
CLM00462	PAX00043679	FL0011042	LH1414	2024-05-06	Lost	Black Rimowa suitcase	23.4	364.6	Resolved	32	0	Lufthansa LEOS
CLM00463	PAX00016660	FL0007800	LH7426	2023-12-14	Delayed	Brown leather bag	26.2	1758.17	In Progress	38	0	Swissport
CLM00464	PAX00024670	FL0008929	LH4470	2024-03-08	Lost	Red duffel bag	15.8	770.77	Resolved	42	0	Fraport Ground Services
CLM00465	PAX00003428	FL0004303	LH3816	2022-10-16	Delayed	Brown leather bag	24.3	1873.79	In Progress			Lufthansa LEOS
CLM00466	PAX00030360	FL0001438	LH9087	2022-03-13	Pilfered	Blue Samsonite carry-on	11.0	EUR 886.36	In Progress	35	0	Fraport Ground Services
CLM00467	PAX00019399	FL0006936	LH361	2023-10-29	Delayed	Blue Samsonite carry-on	23.7	2239.9	Resolved		0	Fraport Ground Services
CLM00468	PAX00031119	FL0005908	LH9281	2023-07-14	Lost	Brown leather bag	12.8	2293.09	Resolved	4	1035.13	Swissport
CLM00469	PAX00021755	FL0004973	LH1683	2023-04-25	Delayed	Black Rimowa suitcase	15.1	1094.87	Resolved	16	0	Fraport Ground Services
CLM00470	PAX00007320	FL0007698	LH1485	19-10-2023	Pilfered	Red duffel bag	25.1	527.6	In Progress	45	906.71	Fraport Ground Services
CLM00471	PAX00018754	FL0005671	LH9527	2023-04-20	Delayed	Blue Samsonite carry-on	10.7	936.75	Resolved	16	0	Fraport Ground Services
CLM00472	PAX00032674	FL0011123	LH8048	2024-10-15	Delayed	Grey Tumi backpack	13.5	1641.69	Resolved	23	0	Fraport Ground Services
CLM00473	PAX00015726	FL0006340	LH7097	2023-06-03	Delayed	Green hardcase	24.2	210.25	Resolved	36	0	Lufthansa LEOS
CLM00474	PAX00034348	FL0000005	LH475	2021-07-16	Damaged	Blue Samsonite carry-on	13.2	1088.84	In Progress	19	1117.94	Lufthansa LEOS
CLM00475	PAX00011503	FL0005767	LH6591	2023-07-22	Delayed	Grey Tumi backpack	25.8	2159.85	Resolved	27	0	Fraport Ground Services
CLM00476	PAX00009371	FL0012142	LH8414	2024-08-15	Delayed	Brown leather bag	28.3	EUR 967.07	Resolved	32	0	Swissport
CLM00477	PAX00031497	FL0011799	LH5399	2024-10-25	Lost	Red duffel bag	22.4	542.39	Resolved	8	113.41	Fraport Ground Services
CLM00478	PAX00030621	FL0003398	LH4609	2022-11-15	Delayed	Black Rimowa suitcase	30.4	1415.5	In Progress	29	0	Fraport Ground Services
CLM00479	PAX00006484	FL0009681	LH280	2024-04-26	Delayed	Red duffel bag	27.4	1431.01	Pending	9	0	Lufthansa LEOS
CLM00480	PAX00009877	FL0004078	LH6609	2022-12-23	Lost	Black Rimowa suitcase	31.2	210.22	Pending	23	1379.57	Lufthansa LEOS
CLM00481	PAX00037450	FL0004244	LH2533	2022-11-10	Delayed	Blue Samsonite carry-on	21.8	1176.54	Resolved		0	Fraport Ground Services
CLM00482	PAX00035864	FL0001193	LH8970	2022-02-25	Delayed	Red duffel bag	23.5	571.65	Resolved	5	0	Fraport Ground Services
CLM00483	PAX00034275	FL0000645	LH570	2021-11-25	Damaged	Brown leather bag	16.1	1174.89	Resolved	11	0	Swissport
CLM00484	PAX00035431	FL0001200	LH1705	2022-02-12	Lost	Black Rimowa suitcase	23.6	1248.2	Resolved		1043.83	Fraport Ground Services
CLM00485	PAX00040112	FL0009261	LH5383	2024-04-23	Delayed	Grey Tumi backpack	11.1	2106.17	Resolved	5	0	Swissport
CLM00486	PAX00015673	FL0003616	LH1646	2022-07-23	Damaged	Green hardcase	27.3	EUR 1371.38	Pending	38	761.45	Fraport Ground Services
CLM00487	PAX00026226	FL0007524	LH4673	2023-10-26	Delayed	Blue Samsonite carry-on	15.6	2155.15	Pending	12	0	Fraport Ground Services
CLM00488	PAX00010015	FL0007534	LH7084	2023-12-24	Delayed	Black Rimowa suitcase	22.5	2218.33	Pending	32	0	Swissport
CLM00489	PAX00014318	FL0006482	LH3193	2023-08-08	Delayed	Blue Samsonite carry-on	8.3	1922.6	Resolved	42	0	Fraport Ground Services
CLM00490	PAX00005000	FL0002531	LH8052	2022-08-17	Delayed	Green hardcase	24.7	1324.6	In Progress	13	0	Fraport Ground Services
CLM00491	PAX00006723	FL0006757	LH2085	06-08-2023	Delayed	Red duffel bag	22.1	1858.26	Pending	33	0	Fraport Ground Services
CLM00492	PAX00026521	FL0000558	LH5617	2021-10-09	Damaged	Brown leather bag	18.9	351.45	In Progress	26	227.77	Fraport Ground Services
CLM00493	PAX00019128	FL0008658	LH1438	2024-01-02	Lost	Brown leather bag	28.2	128.24	Resolved	17	1410.54	Fraport Ground Services
CLM00494	PAX00020451	FL0002904	LH4044	2022-08-23	Pilfered	Green hardcase	12.0	925.84	In Progress	31	903.5	Swissport
CLM00495	PAX00011856	FL0007888	LH1199	2023-09-29	Delayed	Blue Samsonite carry-on	16.2	2341.8	Resolved		0	Lufthansa LEOS
CLM00496	PAX00026730	FL0011914	LH8595	2024-06-19	Delayed	Green hardcase	10.1	239.28	Resolved	35	0	Lufthansa LEOS
CLM00497	PAX00018443	FL0010344	LH1097	2024-04-02	Delayed	Grey Tumi backpack	19.4	1897.6	In Progress	7	0	Lufthansa LEOS
CLM00498	PAX00017112	FL0011284	LH7808	2024-07-28	Delayed	Green hardcase	8.9	1702.33	Pending		0	Swissport
CLM00499	PAX00026232	FL0010462	LH1881	2024-08-31	Lost	Green hardcase	22.6	2433.49	In Progress	2	1034.04	Lufthansa LEOS
CLM00500	PAX00012242	FL0005120	LH8201	2023-05-16	Damaged	Grey Tumi backpack	26.5	448.65	In Progress	19	0	Lufthansa LEOS
CLM00501	PAX00032753	FL0005970	LH1632	2023-06-04	Damaged	Black Rimowa suitcase	22.2	2455.83	Resolved	2	384.67	Lufthansa LEOS
CLM00502	PAX00027359	FL0007507	LH8974	2023-12-19	Delayed	Blue Samsonite carry-on	10.4	2385.24	Resolved	6	0	Fraport Ground Services
CLM00503	PAX00037066	FL0009937	LH613	2024-03-31	Damaged	Black Rimowa suitcase	29.6	864.24	In Progress	12	532.45	Fraport Ground Services
CLM00504	PAX00043482	FL0000551	LH1893	2022-03-27	Delayed	Brown leather bag	29.5	883.11	In Progress	7	0	Swissport
CLM00505	PAX00041030	FL0009334	LH460	2024-02-02	Lost	Red duffel bag	20.3	2352.1	Denied		$1279.13	Swissport
CLM00506	PAX00035235	FL0009936	LH5443	25-03-2024	Delayed	Grey Tumi backpack	26.9	1438.02	Resolved	21	0	Swissport
CLM00507	PAX00017527	FL0008229	LH6991	2023-12-29	Delayed	Green hardcase	20.4	1149.89	Resolved	4	0	Swissport
CLM00508	PAX00037189	FL0002204	LH9763	2022-04-14	Damaged	Black Rimowa suitcase	15.5	1020.47	Pending	15	1474.24	Lufthansa LEOS
CLM00509	PAX00037396	FL0005270	LH898	2023-06-25	Delayed	Green hardcase	26.4	1267.69	Pending	27	0	Swissport
CLM00510	PAX00015296	FL0009473	LH4907	2023-12-28	Damaged	Brown leather bag	14.3	2216.63	Resolved		0	Lufthansa LEOS
CLM00511	PAX00034861	FL0002501	LH3498	2022-06-26	Damaged	Grey Tumi backpack	29.7	1782.7	Pending	36	536.34	Swissport
CLM00512	PAX00023547	FL0007619	LH3808	2023-08-20	Delayed	Green hardcase	24.7	208.81	Resolved	1	0	Lufthansa LEOS
CLM00513	PAX00029359	FL0006540	LH2695	2023-09-17	Pilfered	Red duffel bag	19.9	2434.57	Pending	36	340.45	Swissport
CLM00514	PAX00000252	FL0000489	LH3510	2021-12-17	Pilfered	Red duffel bag	18.0	2320.38	Resolved	7	0	Fraport Ground Services
CLM00515	PAX00040468	FL0009466	LH9248	2024-03-11	Damaged	Grey Tumi backpack	29.1	1896.93	Pending	2	0	Fraport Ground Services
CLM00516	PAX00019588	FL0011306	LH602	2024-05-25	Damaged	Green hardcase	29.5	1931.89	Resolved	19	278.06	Swissport
CLM00517	PAX00029728	FL0011620	LH976	2024-07-03	Delayed	Red duffel bag	31.2	1323.49	Resolved	25	0	Swissport
CLM00518	PAX00012202	FL0009237	LH4219	2024-04-17	Delayed	Grey Tumi backpack	26.8	1433.78	In Progress	14	0	Fraport Ground Services
CLM00519	PAX00042118	FL0007265	LH6920	2023-11-10	Delayed	Grey Tumi backpack	22.9	2072.9	Resolved	30	0	Lufthansa LEOS
CLM00520	PAX00039232	FL0008689	LH7463	2023-11-21	Damaged	Red duffel bag	10.4	1062.84	Resolved	32	0	Fraport Ground Services
CLM00521	PAX00001929	FL0008212	LH7887	2024-03-02	Delayed	Black Rimowa suitcase	9.3	1043.17	Resolved	17	0	Fraport Ground Services
CLM00522	PAX00020554	FL0005597	LH1137	2023-02-22	Damaged	Red duffel bag	13.8	2329.54	In Progress	45	591.14	Swissport
CLM00523	PAX00007225	FL0006829	LH1446	2023-07-07	Lost	Grey Tumi backpack	9.9	656.81	Resolved		125.38	Lufthansa LEOS
CLM00524	PAX00014775	FL0009210	LH8313	2024-03-08	Delayed	Red duffel bag	29.3	748.7	Resolved	15	0	Swissport
CLM00525	PAX00038005	FL0010254	LH9810	2024-08-12	Pilfered	Grey Tumi backpack	30.4	2008.82	In Progress	27	0	Lufthansa LEOS
CLM00526	PAX00025029	FL0007975	LH535	2023-11-22	Delayed	Grey Tumi backpack	28.0	2155.77	Pending	4	0	Lufthansa LEOS
CLM00527	PAX00021434	FL0004302	LH1272	2022-11-08	Lost	Blue Samsonite carry-on	26.5	1072.93	Resolved	20	256.43	Lufthansa LEOS
CLM00528	PAX00001403	FL0006369	LH8452	2023-06-28	Delayed	Blue Samsonite carry-on	17.2	1172.24	Resolved	34	0	Fraport Ground Services
CLM00529	PAX00005389	FL0009938	LH6605	2024-06-11	Delayed	Green hardcase	28.6	2156.79	Resolved	32	0	Fraport Ground Services
CLM00530	PAX00033967	FL0001015	LH4492	2021-12-03	Delayed	Grey Tumi backpack	22.7	1573.76	Resolved		0	Lufthansa LEOS
CLM00531	PAX00020592	FL0003926	LH5856	2023-01-09	Pilfered	Brown leather bag	16.2	1735.32	Resolved	6	0	Fraport Ground Services
CLM00532	PAX00031873	FL0011746	LH8676	2024-08-22	Delayed	Green hardcase	22.0	299.79	Pending	28	0	Swissport
CLM00533	PAX00016198	FL0004215	LH7472	2023-02-21	Lost	Grey Tumi backpack	30.0	322.99	In Progress	20	1384.02	Lufthansa LEOS
CLM00534	PAX00021330	FL0010836	LH391	2024-07-05	Delayed	Black Rimowa suitcase	19.1	599.83	In Progress	6	0	Swissport
CLM00535	PAX00040531	FL0011087	LH9323	2024-05-05	Delayed	Green hardcase	22.6	1726.76	Resolved	8	0	Lufthansa LEOS
CLM00536	PAX00002348	FL0004050	LH3668	2023-02-26	Lost	Brown leather bag	11.9	2386.38	Resolved	32	0	Lufthansa LEOS
CLM00537	PAX00031870	FL0002819	LH7608	2022-04-16	Delayed	Blue Samsonite carry-on	11.7	1373.3	Resolved	22	0	Lufthansa LEOS
CLM00538	PAX00036081	FL0005109	LH293	2022-12-21	Lost	Grey Tumi backpack	10.2	2110.4	Resolved	18	0	Lufthansa LEOS
CLM00539	PAX00000458	FL0006506	LH2441	2023-04-29	Delayed	Green hardcase	25.3	298.83	Pending	24	0	Swissport
CLM00540	PAX00032286	FL0009321	LH5711	2024-05-31	Lost	Green hardcase	15.1	1603.21	Resolved		0	Fraport Ground Services
CLM00541	PAX00015654	FL0006718	LH1945	2023-09-06	Lost	Brown leather bag	18.0	1294.57	Resolved	44	225.58	Fraport Ground Services
CLM00542	PAX00013285	FL0008579	LH3774	28-10-2023	Delayed	Red duffel bag	10.6	1571.07	Resolved	23	0	Swissport
CLM00543	PAX00008036	FL0001634	LH4320	2022-04-09	Delayed	Red duffel bag	31.8	1077.6	Pending	17	0	Fraport Ground Services
CLM00544	PAX00020043	FL0005947	LH4537	2023-07-24	Lost	Grey Tumi backpack	25.7	2306.45	In Progress		0	Lufthansa LEOS
CLM00545	PAX00018391	FL0001442	LH4036	2022-03-06	Damaged	Green hardcase	25.8	1762.34	In Progress	36	1011.93	Fraport Ground Services
CLM00546	PAX00040496	FL0007786	LH8802	2023-12-10	Delayed	Grey Tumi backpack	13.1	2016.93	Resolved	44	0	Lufthansa LEOS
CLM00547	PAX00036642	FL0009354	LH3287	2024-02-24	Damaged	Blue Samsonite carry-on	20.6	1107.01	Denied	17	0	Lufthansa LEOS
CLM00548	PAX00012368	FL0000935	LH7700	2022-02-07	Delayed	Grey Tumi backpack	14.1	1247.12	Resolved	11	0	Swissport
CLM00549	PAX00004777	FL0009423	LH4686	2024-03-12	Delayed	Red duffel bag	30.9	1544.44	In Progress	9	0	Fraport Ground Services
CLM00550	PAX00029284	FL0009042	LH366	2024-05-31	Pilfered	Brown leather bag	24.3	1462.39	Resolved	10	468.72	Swissport
CLM00551	PAX00036857	FL0008047	LH3998	2024-01-14	Delayed	Grey Tumi backpack	17.2	1381.2	Pending	9	0	Swissport
CLM00552	PAX00015567	FL0004634	LH8294	2023-04-15	Pilfered	Brown leather bag	27.1	999.14	Resolved	40	257.34	Fraport Ground Services
CLM00553	PAX00024581	FL0001058	LH855	2022-02-07	Damaged	Grey Tumi backpack	30.0	2290.46	Resolved	1	892.53	Fraport Ground Services
CLM00554	PAX00013595	FL0006709	LH782	2023-10-10	Pilfered	Brown leather bag	15.5	2294.88	Pending	31	0	Fraport Ground Services
CLM00555	PAX00033620	FL0001206	LH8069	2022-01-03	Delayed	Red duffel bag	23.5	298.31	In Progress	38	0	Swissport
CLM00556	PAX00037796	FL0008267	LH2607	2023-12-13	Delayed	Grey Tumi backpack	13.9	647.28	In Progress	24	0	Swissport
CLM00557	PAX00000349	FL0010099	LH2662	2024-04-02	Lost	Grey Tumi backpack	11.7	1520.85	Pending		$55.96	Lufthansa LEOS
CLM00558	PAX00004058	FL0008188	LH3328	2024-03-05	Lost	Blue Samsonite carry-on	19.8	1754.45	In Progress	24	242.7	Swissport
CLM00559	PAX00020766	FL0003389	LH7261	2022-07-12	Lost	Black Rimowa suitcase	20.7	2372.15	Resolved	41	0	Lufthansa LEOS
CLM00560	PAX00035841	FL0006299	LH8318	2023-08-24	Damaged	Green hardcase	27.8	377.26	Denied	5	0	Lufthansa LEOS
CLM00561	PAX00016546	FL0000540	LH9979	2022-03-27	Damaged	Brown leather bag	9.2	2079.5	Resolved	11	1295.38	Lufthansa LEOS
CLM00562	PAX00031049	FL0005594	LH1850	2023-04-29	Delayed	Black Rimowa suitcase	18.0	759.55	Resolved	25	0	Fraport Ground Services
CLM00563	PAX00029546	FL0010599	LH5199	2024-05-28	Delayed	Grey Tumi backpack	13.7	2451.78	Resolved	29	0	Swissport
CLM00564	PAX00020604	FL0011643	LH1500	2024-09-30	Delayed	Red duffel bag	16.2	146.07	Resolved	21	0	Swissport
CLM00565	PAX00013516	FL0005316	LH4646	2023-02-04	Damaged	Brown leather bag	31.8	700.38	In Progress	33	0	Lufthansa LEOS
CLM00566	PAX00005841	FL0004304	LH2563	2023-02-17	Damaged	Grey Tumi backpack	31.3	1644.01	Resolved	19	203.18	Swissport
CLM00567	PAX00030968	FL0005129	LH8876	2023-05-31	Damaged	Brown leather bag	17.3	1127.32	Resolved	25	1145.35	Lufthansa LEOS
CLM00568	PAX00000565	FL0001713	LH1821	2022-05-22	Delayed	Red duffel bag	28.7	819.72	In Progress	10	0	Fraport Ground Services
CLM00569	PAX00025758	FL0003962	LH4172	2022-09-12	Delayed	Green hardcase	12.1	1254.12	Pending	16	0	Lufthansa LEOS
CLM00570	PAX00018574	FL0005779	LH1484	2023-05-17	Delayed	Grey Tumi backpack	29.0	1212.69	Resolved	4	0	Fraport Ground Services
CLM00571	PAX00029865	FL0002860	LH8121	03-08-2022	Damaged	Grey Tumi backpack	29.6	1960.72	Resolved	29	399.52	Fraport Ground Services
CLM00572	PAX00030131	FL0011673	LH4581	2024-06-16	Delayed	Brown leather bag	29.3	995.99	In Progress		0	Swissport
CLM00573	PAX00043108	FL0007602	LH2401	2023-11-14	Delayed	Blue Samsonite carry-on	18.0	1545.89	Resolved	14	0	Lufthansa LEOS
CLM00574	PAX00008743	FL0007147	LH8010	2023-05-25	Lost	Blue Samsonite carry-on	27.2	198.12	In Progress	26	0	Swissport
CLM00575	PAX00020722	FL0007522	LH5756	2023-07-23	Delayed	Green hardcase	13.6	1097.54	Resolved		0	Lufthansa LEOS
CLM00576	PAX00034366	FL0001389	LH9271	2022-03-14	Lost	Green hardcase	14.3	771.53	Pending	44	108.8	Swissport
CLM00577	PAX00037319	FL0006710	LH3189	2023-06-05	Damaged	Blue Samsonite carry-on	17.1	2275.9	Pending		$952.0	Swissport
CLM00578	PAX00041785	FL0008107	LH6829	26-09-2023	Damaged	Grey Tumi backpack	30.1	1911.08	Pending	16	0	Fraport Ground Services
CLM00579	PAX00025708	FL0002566	LH2442	01-09-2022	Pilfered	Black Rimowa suitcase	18.8	598.98	Resolved	32	650.86	Fraport Ground Services
CLM00580	PAX00008243	FL0009299	LH6121	2024-03-13	Damaged	Grey Tumi backpack	11.6	418.21	Resolved		0	Lufthansa LEOS
CLM00581	PAX00009435	FL0005988	LH9067	2023-03-28	Lost	Red duffel bag	24.0	338.94	Pending	35	322.63	Swissport
CLM00582	PAX00033105	FL0008186	LH3332	2023-10-29	Delayed	Green hardcase	11.1	2237.19	Pending	14	0	Fraport Ground Services
CLM00583	PAX00030236	FL0007700	LH5474	2023-10-03	Damaged	Blue Samsonite carry-on	29.2	393.96	In Progress		731.25	Swissport
CLM00584	PAX00034330	FL0008244	LH1409	2023-10-17	Lost	Green hardcase	13.3	EUR 2170.63	In Progress		0	Fraport Ground Services
CLM00585	PAX00015339	FL0001811	LH6835	2022-07-09	Delayed	Blue Samsonite carry-on	15.3	2035.17	In Progress	35	0	Fraport Ground Services
CLM00586	PAX00018622	FL0003099	LH5418	2022-10-16	Delayed	Grey Tumi backpack	24.2	1226.91	Denied		0	Lufthansa LEOS
CLM00587	PAX00027980	FL0001467	LH3673	2022-06-14	Delayed	Red duffel bag	29.1	2078.5	Pending	29	0	Lufthansa LEOS
CLM00588	PAX00003964	FL0009262	LH4701	05-05-2024	Lost	Grey Tumi backpack	14.3	EUR 561.27	Resolved		1057.38	Fraport Ground Services
CLM00589	PAX00009217	FL0000166	LH8321	2021-11-21	Damaged	Grey Tumi backpack	19.7	1891.35	Resolved		0	Fraport Ground Services
CLM00590	PAX00010447	FL0007562	LH725	2023-10-27	Lost	Green hardcase	25.9	EUR 1099.1	In Progress		0	Lufthansa LEOS
CLM00591	PAX00020826	FL0001473	LH5682	2022-03-15	Delayed	Blue Samsonite carry-on	23.1	1709.52	Pending	32	0	Fraport Ground Services
CLM00592	PAX00038230	FL0009805	LH8400	2024-07-05	Lost	Green hardcase	21.5	243.89	Resolved	29	450.25	Lufthansa LEOS
CLM00593	PAX00019521	FL0002199	LH649	2022-07-23	Damaged	Blue Samsonite carry-on	22.2	2157.72	Resolved	17	888.76	Swissport
CLM00594	PAX00031818	FL0001658	LH8717	16-03-2022	Damaged	Grey Tumi backpack	20.5	2284.82	Denied		1087.29	Swissport
CLM00595	PAX00019095	FL0007567	LH6969	2023-11-06	Delayed	Black Rimowa suitcase	31.8	2266.4	Pending	42	0	Lufthansa LEOS
CLM00596	PAX00007697	FL0004858	LH5372	2023-05-09	Delayed	Red duffel bag	25.9	326.3	Resolved		0	Swissport
CLM00597	PAX00025173	FL0000946	LH4816	2022-03-23	Delayed	Grey Tumi backpack	29.0	2478.35	Resolved	26	0	Swissport
CLM00598	PAX00032317	FL0007655	LH7002	2023-10-02	Damaged	Green hardcase	11.6	785.29	Resolved	26	84.1	Swissport
CLM00599	PAX00011288	FL0003225	LH6309	2022-07-18	Delayed	Green hardcase	11.6	2141.68	Pending	37	0	Lufthansa LEOS
CLM00600	PAX00011002	FL0009449	LH2179	2024-04-26	Delayed	Green hardcase	18.6	1212.98	Resolved	7	0	Lufthansa LEOS
CLM00601	PAX00022052	FL0006959	LH8342	2023-05-09	Delayed	Blue Samsonite carry-on	12.9	EUR 303.03	Pending		0	Lufthansa LEOS
CLM00602	PAX00023608	FL0010613	LH7615	2024-06-09	Delayed	Green hardcase	12.1	1545.92	Resolved		0	Fraport Ground Services
CLM00603	PAX00042887	FL0006800	LH7351	2023-05-11	Delayed	Blue Samsonite carry-on	25.7	268.21	Pending	19	0	Swissport
CLM00604	PAX00041291	FL0009995	LH5665	2024-05-08	Lost	Blue Samsonite carry-on	25.7	1033.26	Resolved	15	356.61	Lufthansa LEOS
CLM00605	PAX00040040	FL0012166	LH5445	2024-12-28	Lost	Red duffel bag	28.9	357.42	Pending	27	0	Fraport Ground Services
CLM00606	PAX00040800	FL0003292	LH9855	2022-07-04	Damaged	Green hardcase	9.2	633.98	In Progress		$562.05	Swissport
CLM00607	PAX00019680	FL0011593	LH9471	2024-11-24	Damaged	Green hardcase	9.0	1871.18	Pending	17	935.17	Lufthansa LEOS
CLM00608	PAX00039156	FL0007100	LH5546	2023-10-23	Delayed	Blue Samsonite carry-on	27.6	1097.77	Pending	18	0	Fraport Ground Services
CLM00609	PAX00033685	FL0003158	LH6561	2022-08-01	Damaged	Red duffel bag	14.5	1993.54	Resolved	9	0	Lufthansa LEOS
CLM00610	PAX00004900	FL0007914	LH2911	2023-11-29	Delayed	Red duffel bag	9.6	1631.55	Denied		0	Lufthansa LEOS
CLM00611	PAX00019570	FL0003063	LH4237	2022-05-20	Pilfered	Black Rimowa suitcase	14.8	2030.42	Pending		557.03	Lufthansa LEOS
CLM00612	PAX00001644	FL0011908	LH3288	2024-08-31	Lost	Green hardcase	31.4	322.48	In Progress	44		Lufthansa LEOS
CLM00613	PAX00025247	FL0003631	LH8938	2022-09-29	Delayed	Black Rimowa suitcase	8.1	379.5	In Progress		0	Fraport Ground Services
CLM00614	PAX00004803	FL0009452	LH4415	2024-01-08	Lost	Red duffel bag	13.7	1442.42	Resolved	29		Lufthansa LEOS
CLM00615	PAX00026131	FL0002654	LH2072	2022-06-19	Damaged	Brown leather bag	9.7	803.08	In Progress	3	0	Lufthansa LEOS
CLM00616	PAX00026539	FL0000156	LH3298	2021-11-04	Delayed	Blue Samsonite carry-on	16.2	1640.25	Resolved	19	0	Swissport
CLM00617	PAX00020652	FL0002553	LH2897	2022-05-06	Damaged	Red duffel bag	27.5	917.96	In Progress	31	522.35	Lufthansa LEOS
CLM00618	PAX00031414	FL0009508	LH6488	2024-02-29	Delayed	Blue Samsonite carry-on	22.4	2049.24	Pending	41	0	Swissport
CLM00619	PAX00028419	FL0004016	LH255	2022-08-28	Damaged	Black Rimowa suitcase	17.8	2489.93	Resolved	29	0	Swissport
CLM00620	PAX00004709	FL0006962	LH1613	2023-10-09	Lost	Red duffel bag	13.1	2435.22	Pending	4	280.75	Lufthansa LEOS
CLM00621	PAX00039774	FL0005659	LH2020	2023-01-21	Damaged	Red duffel bag	15.9	EUR 2328.92	Pending	16	0	Lufthansa LEOS
CLM00622	PAX00034996	FL0006592	LH4070	2023-06-09	Pilfered	Green hardcase	26.3	1267.71	Resolved	14	0	Fraport Ground Services
CLM00623	PAX00006253	FL0001698	LH9595	2022-04-30	Delayed	Red duffel bag	27.4	619.23	Resolved	4	0	Swissport
